Тест;n;epsilon;bar x;LU;;QR;
;;;;x;d;x;d
5;4;1e-3;[0.0, 0.0, 0.0, 0.9940357852882704];[-4.3565075048218635e-16, -2.1685532372359016e-16, -1.0843528514575759e-16, 0.9940357852882703];0.0000000000000008719636618140498;[-1.0794090139867799e-15, -5.367960614814403e-16, -3.2524740848499197e-16, 0.99403578528827];0.0000000000000023855416938032745
5;4;1e-6;[0.0, 0.0, 0.0, 0.9999940000359998];[1.2212200146821472e-15, 6.661178279951816e-16, 3.330589140215704e-16, 0.9999940000360001];0.0000000000000025534636640864462;[9.991760754602135e-16, 5.550968575560451e-16, 2.2203927595859622e-16, 0.999994000036];0.0000000000000019983568138998863
5;4;1e-9;[0.0, 0.0, 0.0, 0.999999994];[0.0, 0.0, 0.0, 0.9999999940000001];0.00000000000000011102230246251565;[-2.5535129273279725e-15, -1.2212453104343274e-15, -7.771561079117362e-16, 0.9999999939999994];0.0000000000000051070258579866144
5;4;1e-12;[0.0, 0.0, 0.0, 0.9999999999939999];[-3.330669073795533e-16, -2.2204460491970218e-16, -1.110223024598511e-16, 0.9999999999939999];0.0000000000000006661338147591066;[-1.1102230246125e-15, -5.551115123052508e-16, -3.330669073835502e-16, 0.9999999999939997];0.0000000000000022204460492263325
5;5;1e-3;[0.0, 0.0, 0.0, 0.0, 0.9940357852882704];[4.143313957658807e-16, 2.059301171798612e-16, 1.0235095287269443e-16, 1.0605032571332509e-16, 0.9940357852882704];0.0000000000000008286627915317614;[-4.358785597147982e-15, -2.2750104477997705e-15, -1.1312572046481212e-15, -7.418956369605575e-16, 0.9940357852882702];0.000000000000008728993491481463
5;5;1e-6;[0.0, 0.0, 0.0, 0.0, 0.9999940000359998];[1.7762755762943036e-15, 8.881331254782171e-16, 4.440652305993674e-16, 2.2203394755132392e-16, 0.999994000036];0.000000000000003552552484848243;[2.2202861780801758e-16, 2.2203394686006776e-16, 2.220392759001314e-16, 0.0, 0.9999940000359996];0.000000000000000888146445493248
5;5;1e-9;[0.0, 0.0, 0.0, 0.0, 0.999999994];[-1.665334456335548e-15, -8.881783744030285e-16, -4.4408918586924675e-16, -2.22044594266891e-16, 0.9999999939999998];0.00000000000000333066891333723;[-1.887379073576623e-15, -9.992006863542348e-16, -4.4408918819823783e-16, -3.330668972277684e-16, 0.9999999939999998];0.0000000000000037747581478193796
5;5;1e-12;[0.0, 0.0, 0.0, 0.0, 0.9999999999939999];[-7.771561171976414e-16, -4.4408920982741393e-16, -2.2204460491304087e-16, -1.1102230245718658e-16, 0.9999999999939999];0.0000000000000015543122343952827;[0.0, 0.0, 0.0, 0.0, 0.9999999999939999];0
5;8;1e-3;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9940357852882704];[-4.3565075048218635e-16, -2.1685532372359016e-16, -1.0843528514575759e-16, 0.0, 0.0, 0.0, 0.0, 0.9940357852882703];0.0000000000000008719636618140498;[-4.514009811488312e-15, -2.241222618595911e-15, -1.2223918783262811e-15, -6.094087267098528e-16, -1.9103643862383456e-16, -2.116450592639963e-16, -4.2892096460512855e-17, 0.9940357852882702];0.000000000000009254651234393732
5;8;1e-6;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999940000359998];[3.728640996785114e-14, 1.8643095123744282e-14, 9.321495629653291e-15, 4.660727843825559e-15, 2.330365925777786e-15, 1.1096971227190089e-15, 5.548985041350281e-16, 0.9999940000360005];0.0000000000000745728239324812;[8.144258118506397e-14, 4.083205624209063e-14, 2.041589030029897e-14, 1.0207866576521522e-14, 4.9928623660367565e-15, 2.7740182370214446e-15, 1.3317563437901347e-15, 0.9999940000360007];0.00000000000016288520967052354
5;8;1e-9;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.999999994];[-1.0547112773377619e-14, -5.329067505945662e-15, -2.6645337376517623e-15, -1.3322668621645476e-15, -6.661334297500083e-16, -3.3306671820567356e-16, -2.2204451965996484e-16, 0.999999994];0.000000000000021094225546755238;[7.882578855673164e-15, 3.996800578401707e-15, 1.9984002763109234e-15, 8.881778157039875e-16, 5.551111977113798e-16, 3.3306674458599894e-16, 2.2204454475554926e-16, 0.9999999939999998];0.000000000000015987202315605223
5;8;1e-12;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999939999];[-6.994405051757188e-15, -3.5527136770885355e-15, -1.7763568385342758e-15, -8.881784192631413e-16, -4.440892096315706e-16, -2.220446048197821e-16, -1.1102230241988307e-16, 0.9999999999939999];0.000000000000013988810103514374;[-5.995204332476231e-15, -3.108624468698633e-15, -1.554312234341989e-15, -6.661338147124757e-16, -3.330669073555718e-16, -2.22044604910376e-16, -1.110223024571865e-16, 0.9999999999939999];0.000000000000011990408664952463
5;16;1e-3;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9940357852882704];[-1.8147609470520894e-14, -9.02067393293734e-15, -4.48539927579839e-15, -2.1780010066034534e-15, -1.0874477932911704e-15, -5.496030285421486e-16, -2.888989819386695e-16, -1.1301109171276613e-16, -4.5665159110433993e-17, -1.9492236312181648e-17, -1.569948802189557e-17, -7.350052863790938e-18, -3.546350884778044e-18, -1.7406476653612053e-18, 0.0, 0.9940357852882701];0.00000000000003629720542359082;[-5.772814591556428e-14, -2.8997333087820007e-14, -1.4254771909745917e-14, -7.57539063540394e-15, -3.724873899090914e-15, -1.6027589788211468e-15, -9.629829275721042e-16, -4.168636262052392e-16, -1.9493612985821574e-16, -9.441211150816339e-17, -2.7177762065396958e-17, -7.958910123085753e-17, 2.2952719043732755e-17, -2.906047798374789e-18, -9.279207776654631e-17, 0.9940357852882705];0.00000000000011588890923195735
5;16;1e-6;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999940000359998];[1.215892850863318e-11, 6.079483291232594e-12, 3.0397234132709495e-12, 1.5198525995099267e-12, 7.59921764203469e-13, 3.7990313948553253e-13, 1.8995051527514103e-13, 9.497485819496338e-14, 4.748748472634516e-14, 2.3744279966083516e-14, 1.1873424734736453e-14, 5.939372270549426e-15, 2.9749947349647693e-15, 1.4978917829944699e-15, 7.13306154269746e-16, 0.9999940000360008];0.000000000024317968044897864;[3.218097949304084e-11, 1.6090726180708463e-11, 8.045425681239624e-12, 4.022577386457323e-12, 2.0111650378174295e-12, 1.0062416751060145e-12, 5.032274087420479e-13, 2.5149886675494496e-13, 1.257450989855142e-13, 6.286725990081185e-14, 3.131643145034397e-14, 1.5541461692065673e-14, 7.716507519920567e-15, 3.887881096472549e-15, 1.9326033685245714e-15, 0.9999940000360011];0.00000000006436218124150989
