Тест;n;epsilon;bar x;e;МПИ;;;Метод Зейделя;;
;;;;;x;d;k;x;d;k
5;4;1e-3;[0.0, 0.0, 0.0, 0.9940357852882704];;;;;;;
;;;;1e-2;[-0.12367111346984513, -0.06262936055605708, -0.03329333320950181, 0.9708493257807478];2.4278026674292666e-1;12;[0.1435472731182159, 0.07121633583007123, 0.03831807222179345, 1.0204999878993986];2.795458837812087e-1;17
;;;;1e-4;[-0.0013182134541283586, -0.0006666916895280324, -0.0003611423385926349, 0.9937927814051091];2.589051365410367e-3;728;[0.0014380951605417192, 0.0007134643917923567, 0.00038388074553030727, 0.9943009107823041];2.8005657918980633e-3;99
;;;;1e-6;[-1.3191141026075437e-5, -6.671471960700081e-6, -3.613890833698008e-6, 0.9940333535891532];2.5908202937651523e-5;1454;[1.4407223806189862e-5, 7.147678020435901e-6, 3.84582047668891e-6, 0.994038441386722];2.8056820754940185e-5;181
;;;;1e-10;[-1.3209200677710697e-9, -6.680605567567788e-10, -3.618837729479907e-10, 0.9940357850447676];2.5943671709762204e-9;2906;[1.4459899944085919e-9, 7.173811578416459e-10, 3.859882413692617e-10, 0.9940357855548514];2.815940373132764e-9;345
5;4;1e-6;[0.0, 0.0, 0.0, 0.9999940000359998];;;;;;;
;;;;1e-2;[-0.12422945472108538, -0.06324312741330108, -0.033659559618823165, 0.976928994558937];2.4419714723027242e-1;12;[0.16877157690970868, 0.08438513887128833, 0.045463447041882044, 1.0308212174640414];3.294473802509207e-1;16
;;;;1e-4;[-0.0015169930804329046, -0.0007713583337967575, -0.000417952800966348, 0.9997169272899527];2.983376961243168e-3;802;[0.0017449279374797122, 0.0008724572527007409, 0.0004700462028623953, 1.0003127223819652];3.4061537390082646e-3;109
;;;;1e-6;[-1.5159665389230526e-5, -7.708363595314438e-6, -4.176699744312673e-6, 0.9999912311834764];2.9813581252229193e-5;1628;[1.717536546719245e-5, 8.58761662747011e-6, 4.626675490282395e-6, 0.9999971372273169];3.352684890200465e-5;203
;;;;1e-10;[-1.5223802218855553e-9, -7.740975802518024e-10, -4.194370128995928e-10, 0.999993999757943];2.993971614844253e-9;3279;[1.747885836067553e-9, 8.739361906100186e-10, 4.708430312305723e-10, 0.9999940003552623];3.411927563229804e-9;390
5;5;1e-3;[0.0, 0.0, 0.0, 0.0, 0.9940357852882704];;;;;;;
;;;;1e-2;[-0.06963867670138156, -0.03499088745301633, -0.01790604698723583, -0.008133389800321245, 0.9861357695449214];1.3856901668530394e-1;17;[0.39995450564568946, 0.19855963421013145, 0.10084700261877522, 0.055434918762996166, 1.032808209513789];7.935684854631109e-1;39
;;;;1e-4;[-0.004287776757989359, -0.0021410869520549244, -0.0010906347786925896, -0.0005985881790260272, 0.9936227662500525];8.531105705980788e-3;2188;[0.003988553860115207, 0.0019801397016726385, 0.0010056986379657906, 0.0005528257741722609, 0.9944224440210208];7.913876706676242e-3;307
;;;;1e-6;[-4.287238629815948e-5, -2.1408182395536604e-5, -1.0904979009282445e-5, -5.985130545144157e-6, 0.994031655616239];8.530035027957256e-5;5774;[3.977592867210333e-5, 1.974698055907855e-5, 1.00293486542391e-5, 5.513065469919809e-6, 0.9940396412497827];7.892128486765206e-5;575
;;;;1e-10;[-4.286170821043989e-9, -2.1402850161654843e-9, -1.0902263258838474e-9, -5.983640527507106e-10, 0.9940357848754062];8.527910403126511e-9;12946;[4.024346855757699e-9, 1.997909333199127e-9, 1.0147236939594961e-9, 5.57786705712715e-10, 0.994035785678399];7.984895184724033e-9;1110
5;5;1e-6;[0.0, 0.0, 0.0, 0.0, 0.9999940000359998];;;;;;;
