x;f;L_3;Lopt_3;N_3;Nopt_3;S1_3;S2_3;S3_3;L_5;Lopt_5;N_5;Nopt_5;S1_5;S2_5;S3_5;L_10;Lopt_10;N_10;Nopt_10;S1_10;S2_10;S3_10;L_20;Lopt_20;N_20;Nopt_20;S1_20;S2_20;S3_20;L_50;Lopt_50;N_50;Nopt_50;S1_50;S2_50;S3_50;L_100;Lopt_100;N_100;Nopt_100;S1_100;S2_100;S3_100
-1;-1.3093362496096232;-1.309336249609623;-1.310018929753077;-1.3093362496096232;-1.3100189297530767;-1.3093362496096232;-1.3093362496096232;-1.3093362496096232;-1.3093362496096226;-1.3093707015326823;-1.309336249609623;-1.3093707015326814;-1.3093362496096232;-1.3093362496096232;-1.309336249609623;-1.3093362496094372;-1.309336237062661;-1.3093362496096235;-1.3093362370623811;-1.3093362496096232;-1.3093362496096232;-1.3093362496096232;-1.3093363885800726;-1.3093362483248172;-1.309336249609623;-1.3093362496096221;-1.3093362496096232;-1.3093362496096232;-1.3093362496096232;93644029668.125;33992497.84375;-1.3093578917960258;-1.309336241268179;-1.3093362496096232;-1.3093362496096232;-1.3093362496096232;-192782316339640800000000000000000000000000;9446565301345083000000000000000;-37235031133458168000000000;-104753934691407310;-1.3093362496096232;-1.3093362496096232;-1.3093362496096232
-0.98;-1.2588127865694316;-1.2586210114584855;-1.2592965437857817;-1.2586210114584857;-1.2592965437857817;-1.2723891249196144;-1.258796635868923;-1.2588096471974022;-1.2587887702597644;-1.2588253396929687;-1.258788770259765;-1.2588253396929678;-1.2668861707334145;-1.2588017456658127;-1.2588096344124327;-1.2588128523753532;-1.2588127940240512;-1.2588128523755162;-1.2588127940238627;-1.2626736281995283;-1.2588059874686137;-1.2588096433955218;-1.258812895816348;-1.2588127954441601;-1.2588127865695629;-1.258812786569432;-1.2605373839319056;-1.2588084764740797;-1.2588097349825145;50863132938.578125;17505182.0546875;-1.258835150732466;-1.2588127815394323;-1.2592452876758;-1.2588107686427117;-1.2588104091261674;-46810280448288150000000000000000000000000;3192320009276221000000000000000;-8749676965059193000000000;-36176838049010280;-1.2588127865694316;-1.2588127865694319;-1.2588127865694316
-0.96;-1.2091543257419768;-1.2087854856092402;-1.2094530538315869;-1.20878548560924;-1.2094530538315866;-1.2354420002296054;-1.2090977946468222;-1.2091482303118553;-1.2091112689786951;-1.209149694582138;-1.2091112689786956;-1.2091496945821374;-1.2244360918572057;-1.2091182338343816;-1.2091481280320988;-1.2091544217945485;-1.209154338399392;-1.2091544217946912;-1.2091543383992642;-1.216011006789433;-1.2091352010455851;-1.2091481998968157;-1.2091544094134041;-1.2091543300286824;-1.2091543257420898;-1.2091543257419763;-1.2117385182541884;-1.2091451570674492;-1.2091489325927538;27099448671.839844;8918365.0234375;-1.2091603355054303;-1.2091543227340729;-1.2091543257419768;-1.2091543257419775;-1.209154325741976;-11048038450426617000000000000000000000000;991738672549054600000000000000;-2000445428975915500000000;-12692970878954166;-1.2091543257419768;-1.2091543257419768;-1.209154325741976
-0.94;-1.1603581358750303;-1.1598269838942346;-1.1604858126538788;-1.1598269838942343;-1.1604858126538786;-1.1984948755395965;-1.1602397259433208;-1.160349584479656;-1.1603004971547133;-1.160340518266789;-1.1603004971547137;-1.1603405182667883;-1.1819860129809971;-1.1602857141153293;-1.1603492392854788;-1.1603582387266496;-1.1603581456975243;-1.1603582387267746;-1.1603581456974337;-1.169348385379338;-1.1603238903405377;-1.1603494818288975;-1.1603581989000087;-1.1603581355491046;-1.1603581358750927;-1.1603581358750301;-1.1629396525764708;-1.1603462913897318;-1.1603519546776884;14169179313.435547;4492619.465576172;-1.1603608899614244;-1.1603581340903588;-1.1607879337341211;-1.160360167804226;-1.160365341938542;-2529817894113944400000000000000000000000;288668211068818670000000000000;-444302072584364400000000;-4530961727267322;-1.1603581358750303;-1.1603581358750303;-1.1603581358750281
-0.92;-1.1124215417262655;-1.111742818145817;-1.1123921730160446;-1.1117428181458169;-1.1123921730160446;-1.161547750849588;-1.1122224297584191;-1.1124112952274787;-1.1123532880246747;-1.1123946455523146;-1.112353288024675;-1.1123946455523142;-1.1395359341047888;-1.1123041865086565;-1.1124104769894299;-1.1124216369623656;-1.1124215452877795;-1.1124216369624733;-1.1124215452877104;-1.1226857639692431;-1.1123720553534713;-1.1124110519071624;-1.1124215887349944;-1.1124215398985275;-1.1124215417262877;-1.1124215417262655;-1.114140786898754;-1.1124118794409277;-1.1124169134746669;7274433784.588379;2236372.3497314453;-1.1124231151510209;-1.112421540675109;-1.1124215417262655;-1.1124215417262655;-1.1124215417262655;-560775239970871260000000000000000000000;79487680436631400000000000000;-95690081595430400000000;-1647280024861917.5;-1.1124215417262655;-1.1124215417262655;-1.1124215417262633
-0.9;-1.0653419212210364;-1.0645303001963353;-1.065169487681471;-1.0645303001963353;-1.0651694876814706;-1.1246006261595791;-1.0650459060921167;-1.0653309480819975;-1.0652665540319306;-1.065308991308211;-1.0652665540319313;-1.065308991308211;-1.09708585522858;-1.0651736510143626;-1.065329349960808;-1.0653420009920112;-1.0653419180593817;-1.0653420009921044;-1.0653419180593222;-1.0760231425591478;-1.0652796960843856;-1.0653304728470043;-1.0653419561147994;-1.0653419201139611;-1.0653419212210367;-1.065341921221037;-1.0653419212210364;-1.0653419212210364;-1.0653419212210364;3668248642.9299316;1099309.7473144531;-1.065342727011851;-1.065341920606139;-1.065769122220365;-1.0653399018992826;-1.0653154611313715;-120005964873675980000000000000000000000;20811512491053170000000000000;-19942377992992610000000;-610489152707906;-1.0653419212210364;-1.0653419212210364;-1.0653419212210054
-0.88;-1.019116702714465;-1.0181867418781376;-1.0188151094135438;-1.0181867418781374;-1.0188151094135436;-1.08765350146957;-1.0187101549444137;-1.0191061285698855;-1.0190372841842672;-1.019080547793386;-1.019037284184268;-1.0190805477933855;-1.0546357763523715;-1.0188941076324476;-1.0191033670164704;-1.0191167637831013;-1.0191166940974954;-1.0191167637831822;-1.0191166940974392;-1.0293605211490529;-1.019046812533281;-1.0191053073638179;-1.0191167285793956;-1.019116703000501;-1.0191167027144568;-1.019116702714465;-1.0208155440785636;-1.0191264607081942;-1.019124357458207;1817011464.9466553;533199.1640167236;-1.0191170906720268;-1.0191167023570493;-1.0191167027144648;-1.019116702714465;-1.019116702714466;-24707891817254196000000000000000000000;5193946204616665000000000000;-4011508550842924000000;-230869535418639.9;-1.0191167027144652;-1.019116702714465;-1.0191167027144274
-0.86;-0.9737433623514652;-0.9727094550235718;-0.9733263909756504;-0.9727094550235718;-0.9733263909756503;-1.0507063767795612;-0.9732151763153101;-0.9737344222178175;-0.9736625414118447;-0.9737063819814659;-0.9736625414118453;-0.9737063819814655;-1.0121856974761627;-0.973465556362912;-0.9737300369732742;-0.9737434045721765;-0.9737433503809904;-0.9737434045722451;-0.973743350380933;-0.9826978997389579;-0.9736734047001574;-0.9737331181729969;-0.9737433815339887;-0.9737433636674819;-0.9737433623514575;-0.9737433623514647;-0.9762891669360907;-0.9737555418805364;-0.9737586709438363;884019240.748291;254956.93085098267;-0.9737435491486843;-0.9737433621449328;-0.9741680621165745;-0.9737453929836521;-0.9738419847106563;-4872054405132847700000000000000000000;1236697185846021000000000000;-776418319687933500000;-89218228685601.11;-0.9737433623514653;-0.9737433623514653;-0.973743362352252
-0.84;-0.929219421518684;-0.9280957514649861;-0.9287006851311774;-0.9280957514649861;-0.9287006851311772;-1.0137592520895524;-0.9285609702048061;-0.9292134145524671;-0.929139459925135;-0.929183632886107;-0.9291394599251356;-0.9291836328861068;-0.9697356185999542;-0.9288879972057555;-0.929206868648076;-0.9292194466752892;-0.9292194085062414;-0.9292194466753478;-0.9292194085061813;-0.9360352783288626;-0.9291594725850147;-0.9292114679899363;-0.9292194357599527;-0.9292194231440448;-0.9292194215186791;-0.9292194215186831;-0.9317627897936178;-0.9292291647380637;-0.929238577739644;422362962.07710266;120061.81248664856;-0.9292195113925844;-0.9292194213999814;-0.929219421518684;-0.9292194215186838;-0.9292194215186802;-914282457357477500000000000000000000;280863856353781800000000000;-144008216735465240000;-35297709124452.984;-0.9292194215186839;-0.929219421518684;-0.9292194215195195
-0.8200000000000001;-0.8855424443826455;-0.8843429430347289;-0.8849353446435115;-0.8843429430347288;-0.8849353446435113;-0.9768121273995436;-0.8847475366129018;-0.8855406911005086;-0.8854652425728617;-0.8855095088863014;-0.8854652425728623;-0.8855095088863013;-0.9272855397237456;-0.8851614301609785;-0.885531370857733;-0.8855424553209444;-0.8855424324405846;-0.8855424553209942;-0.8855424324405211;-0.8893726569187679;-0.8855050161878533;-0.8855379195300304;-0.8855424549586649;-0.885542445707442;-0.8855424443826435;-0.8855424443826446;-0.8872364126511454;-0.8855473292807758;-0.8855577939073497;198106176.22239494;55613.2661883831;-0.8855424867395804;-0.885542444314756;-0.8859647285136785;-0.8855404238501583;-0.8851744043506571;-161745526361721370000000000000000000;60776537003460730000000000;-25457516347792294000;-14324062489468.93;-0.8855424443826456;-0.8855424443826454;-0.885542444380917
