n;m;RL;RLopt;RN;RNopt;RS1;RS2;RS3
3;10000;3.4927585526393773e-3;2.5458179552347027e-3;3.492758552639641e-3;2.5458179552346194e-3;1.1498337767995803e-1;4.524655588951432e-3;4.504791504525249e-3
5;10000;1.942778893357193e-4;9.641324188983114e-5;1.9427788933588583e-4;9.641324188980338e-5;4.212633079477479e-2;1.0698172487987323e-3;6.095867590943382e-3
10;10000;2.0044107509886722e-7;2.556395278796586e-8;2.00441068048951e-7;2.556399059105985e-8;1.068128488221376e-2;1.1072224849084655e-4;1.0425121224840577e0
15;10000;2.2199279914314474e-10;1.2993739417765937e-10;2.2547633204972328e-10;5.997424779025096e-12;4.77090016301096e-3;4.359337357096038e-5;6.592538292020758e2
20;10000;1.3897044937039027e-7;8.930432615628092e-9;2.7672308888782027e-13;1.7763568394002505e-15;2.690469995344724e-3;1.7585226000371712e-5;3.744791631624424e5
25;10000;5.257020662972067e-4;2.2655291622708518e-6;1.6183998585717063e-12;1.3322676295501878e-15;1.7245699259675895e-3;1.091115828999456e-5;2.189526084618718e8
40;10000;4.610231285900332e4;2.802028478934568e2;2.3449091390848054e-8;4.6629367034256575e-14;6.752474355853355e-4;3.528616940418061e-6;5.172809694838784e16
50;10000;9.364402966943434e10;3.399249915308625e7;3.8268242710692846e-5;8.341444202031312e-9;4.325011063683881e-4;2.3175726558966048e-6;2.1583539832594882e22
60;10000;9.146307492079206e16;4.721374350311907e11;4.6482235182869776e0;2.905451730212283e-3;3.005037461831783e-4;1.7108339300797581e-6;9.389042559119526e27
70;10000;1.8506145940404387e23;5.954283148388659e16;4.068774877736504e6;1.1003642831578773e2;2.2085806777938366e-4;1.3578550778214904e-6;4.204718567768697e33
80;10000;3.4191552440160686e28;8.838494030136387e21;7.60618735148231e12;6.990455396904191e5;1.6913820914599142e-4;1.1296311701602946e-6;1.9234385249607437e39
90;10000;2.581175214863307e35;6.776532916146136e26;1.6901916910813184e18;5.4665983519201074e11;1.3366848899698525e-4;9.702565579861044e-7;8.943459739331397e44
100;10000;1.927823163396408e41;9.446565301345083e30;3.7235031133458168e25;1.0475393469140731e17;1.0829824770608454e-4;8.52463888811883e-7;4.211992279047986e50
