x;f;data;plain_0;orth_0;plain_1;orth_1;plain_2;orth_2;plain_3;orth_3;plain_4;orth_4;plain_5;orth_5;plain_6;orth_6;plain_7;orth_7;plain_8;orth_8;plain_9;orth_9;plain_10;orth_10;plain_11;orth_11;plain_12;orth_12;plain_13;orth_13;plain_14;orth_14;plain_15;orth_15;plain_16;orth_16;plain_17;orth_17;plain_18;orth_18;plain_19;orth_19;plain_20;orth_20;plain_21;orth_21;plain_22;orth_22;plain_23;orth_23;plain_24;orth_24;plain_25;orth_25;plain_26;orth_26;plain_27;orth_27;plain_28;orth_28;plain_29;orth_29;plain_30;orth_30;plain_31;orth_31;plain_32;orth_32;plain_33;orth_33;plain_34;orth_34;plain_35;orth_35;plain_36;orth_36;plain_37;orth_37;plain_38;orth_38;plain_39;orth_39;plain_40;orth_40;plain_41;orth_41;plain_42;orth_42;plain_43;orth_43;plain_44;orth_44;plain_45;orth_45;plain_46;orth_46;plain_47;orth_47;plain_48;orth_48;plain_49;orth_49;plain_50;orth_50;plain_51;orth_51;plain_52;orth_52;plain_53;orth_53;plain_54;orth_54;plain_55;orth_55;plain_56;orth_56;plain_57;orth_57;plain_58;orth_58;plain_59;orth_59;plain_60;orth_60;plain_61;orth_61;plain_62;orth_62;plain_63;orth_63;plain_64;orth_64;plain_65;orth_65;plain_66;orth_66;plain_67;orth_67;plain_68;orth_68;plain_69;orth_69;plain_70;orth_70;plain_71;orth_71;plain_72;orth_72;plain_73;orth_73;plain_74;orth_74;plain_75;orth_75;plain_76;orth_76;plain_77;orth_77;plain_78;orth_78;plain_79;orth_79;plain_80;orth_80;plain_81;orth_81;plain_82;orth_82;plain_83;orth_83;plain_84;orth_84;plain_85;orth_85;plain_86;orth_86;plain_87;orth_87;plain_88;orth_88;plain_89;orth_89;plain_90;orth_90;plain_91;orth_91;plain_92;orth_92;plain_93;orth_93;plain_94;orth_94;plain_95;orth_95;plain_96;orth_96;plain_97;orth_97;plain_98;orth_98;plain_99;orth_99
-1e0;;-1.085450541853443e0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1e0;;-9.805159144147572e-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1e0;;-1.083455036747347e0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1e0;;-9.715529931847952e-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-9.959919839679359e-1;;-1.0084652290911147e0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-9.959919839679359e-1;;-9.270086705334714e-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-9.959919839679359e-1;;-1.052602229733116e0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-9.959919839679359e-1;;-1.0920395025794216e0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-9.919839679358717e-1;;-9.236738651308547e-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-9.919839679358717e-1;;-1.0909807246100682e0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
