Evaluations,LTrianglesErr,RTrianglesErr,MTrianglesErr,TrapezoidErr,SimpsonErr
1,1.601132289252727e0,2.256423900319059e0,1.2219790956210974e0,,
2,,,,1.928778094785893e0,
3,,,,,1.717266988187669e-1
2,1.8957659681581474e-1,5.172224023489811e-1,1.8663957971278133e-1,,
3,,,,3.533994995823977e-1,
5,,,,,6.626553281054548e-3
4,1.4685085515164786e-3,1.6529141131809988e-1,4.225395511187946e-2,,
5,,,,8.33799599348084e-2,
9,,,,,3.7598342965061704e-4
8,2.039272328018127e-2,6.151872810311021e-2,1.0315944892909545e-2,,
9,,,,2.056300241146447e-2,
17,,,,,2.2962458118502838e-5
16,1.5354334086545407e-2,2.5601391605100332e-2,2.563904851316412e-3,,
17,,,,5.1235287592774625e-3,
33,,,,,1.4269811186018444e-6
32,8.959119468931576e-3,1.1518743376891294e-2,6.400395661274594e-4,,
33,,,,1.2798119539803032e-3,
65,,,,,8.905942472381412e-8
64,4.799579517528851e-3,5.439351905382583e-3,1.5995144331348854e-4,,
65,,,,3.198861939264219e-4,
129,,,,,5.5642335183847536e-9
128,2.479765480421836e-3,2.6397002310338813e-3,3.9984209252441616e-5,,
129,,,,7.996737530691078e-5,
257,,,,,3.477329535428453e-10
256,1.259874844837583e-3,1.2998580108898317e-3,9.995824111541651e-6,,
257,,,,1.9991583027234583e-5,
513,,,,,2.1731949573222664e-11
512,6.349353344745623e-4,6.449310933898111e-4,2.49894176507226e-6,,
513,,,,4.997879457402377e-6,
1025,,,,,1.3575807145116414e-12
1024,3.187171381209275e-4,3.2121607581236944e-4,6.247345489818201e-7,,
1025,,,,1.2494688466091475e-6,
2049,,,,,8.393286066166183e-14
2048,1.5967093633451057e-4,1.6029567063036154e-4,1.561835811791923e-7,,
2049,,,,3.1236714770344065e-7,
4097,,,,,5.329070518200751e-15
4096,7.991355995873306e-5,8.006974352436913e-5,3.9045891409017486e-8,,
4097,,,,7.80917841503026e-8,
8193,,,,,8.881784197001252e-16
8192,3.9976302924848994e-5,4.00153488167021e-5,9.761472519187464e-9,,
8193,,,,1.9522945482464138e-8,
16385,,,,,0e0
16384,1.999303219868409e-5,2.0002793672535546e-5,2.440367907752261e-9,,
16385,,,,4.880737147772152e-9,
32769,,,,,8.881784197001252e-16
32768,9.99773628374001e-6,1.0000176652091852e-5,6.100915328488554e-10,,
32769,,,,1.2201848420545502e-9,
65537,,,,,8.881784197001252e-16
65536,4.999173187858474e-6,4.999783280723591e-6,1.5252288321221386e-10,,
65537,,,,3.050466546028474e-10,
131073,,,,,0e0
131072,2.4996628558149325e-6,2.499815379586323e-6,3.8130387736146076e-11,,
131073,,,,7.62621077399217e-11,
262145,,,,,8.881784197001252e-16
262144,1.2498504924352005e-6,1.249888623711115e-6,9.531486711011894e-12,,
262145,,,,1.9066526135702588e-11,
524289,,,,,1.3322676295501878e-15
524288,6.249300130711788e-7,6.249395463342466e-7,2.383426789265286e-12,,
524289,,,,4.766853578530572e-12,
1048577,,,,,0e0
