Evaluations,NewtonCotesErr,GaussErr,HybridErr
3,,1.6360042226914118e-2,
3,5.894856205898122e-1,,
6,,,1.6360042226914118e-2
6,,1.6180385354047644e-4,
5,1.4275147095229812e-1,,
11,,,1.6180385354047644e-4
12,,1.549310013615468e-6,
9,1.8860100579830785e-2,,
21,,,1.549310013615468e-6
24,,1.6183523854351733e-8,
17,2.1859519550524453e-3,,
41,,,1.6183523854351733e-8
48,,1.815330108456692e-10,
33,2.4538225089187904e-4,,
81,,,1.815330108456692e-10
96,,1.1539214028744027e-11,
65,2.7336578011016854e-5,,
161,,,1.1539214028744027e-11
192,,3.062083919758152e-11,
129,3.04100054293599e-6,,
321,,,3.062083919758152e-11
384,,nan,
257,3.38296803903404e-7,,
641,,,2.0464163696942705e-10
768,,nan,
513,3.764460565491845e-8,,
1281,,,3.5935698861067067e-10
1536,,nan,
1025,4.190038538354202e-9,,
2561,,,4.3936765337093675e-10
3072,,nan,
2049,4.664357788897178e-10,,
5121,,,1.29220085298698e-7
6144,,nan,
4097,5.193356855670572e-11,,
10241,,,2.991072314273424e-6
12288,,nan,
8193,5.757172516496212e-12,,
20481,,,1.995748516847584e-5
24576,,nan,
16385,6.163958232718869e-13,,
40961,,,1.9534412249360145e-3
49152,,nan,
32769,4.263256414560601e-14,,
81921,,,3.452239489098119e-2
98304,,nan,
65537,1.4210854715202004e-14,,
163841,,,1.1582116274944099e-2
196608,,nan,
131073,2.1316282072803006e-14,,
327681,,,8.420206916763817e-4
393216,,nan,
262145,2.1316282072803006e-14,,
655361,,,1.050940880350737e-3
786432,,nan,
524289,1.3855583347321954e-13,,
1310721,,,1.1342437973809183e-3
1572864,,nan,
1048577,1.2967404927621828e-13,,
2621441,,,9.723296758625821e-4
