x,OneErr,TwoErr,ThreeErr,FourErr
0e0,0e0,,,
1.5595777011444703e-2,4.144620924090272e-7,,,
3.1191554022889405e-2,8.290306232601212e-7,,,
4.6787331034334106e-2,1.2437056958629562e-6,,,
6.238310804577881e-2,1.658487412027922e-6,,,
7.797888505722352e-2,2.07337587131074e-6,,,
9.357466206866821e-2,2.4883711720040643e-6,,,
1.0917043908011292e-1,2.903473410348571e-6,,,
1.2476621609155762e-1,3.3186826808930247e-6,,,
1.4036199310300232e-1,3.7339990762144884e-6,,,
1.5595777011444703e-1,4.149422687414701e-6,,,
1.7155354712589174e-1,4.564953603713968e-6,,,
1.8714932413733643e-1,4.980591912466037e-6,,,
2.0274510114878114e-1,5.396337699342394e-6,,,
2.1834087816022585e-1,5.812191048208273e-6,,,
2.3393665517167053e-1,6.2281520412103885e-6,,,
2.4953243218311524e-1,6.644220758449781e-6,,,
2.651282091945599e-1,7.060397278736275e-6,,,
2.8072398620600464e-1,7.476681678623354e-6,,,
2.9631976321744935e-1,7.893074033109897e-6,,,
3.1191554022889406e-1,8.30957441547978e-6,,,
3.275113172403388e-1,8.726182897052794e-6,,,
3.431070942517835e-1,9.142899547636703e-6,,,
3.5870287126322814e-1,9.559724434795937e-6,,,
3.7429864827467285e-1,9.97665762480993e-6,,,
3.8989442528611756e-1,1.0393699181991967e-5,,,
4.054902022975623e-1,1.0810849168809562e-5,,,
4.21085979309007e-1,1.122810764591661e-5,,,
4.366817563204517e-1,1.164547467247877e-5,,,
4.5227753333189635e-1,1.2062950305566812e-5,,,
4.6787331034334106e-1,1.2480534600503788e-5,,,
4.834690873547858e-1,1.2898227610981912e-5,,,
4.990648643662305e-1,1.331602938888457e-5,,,
5.146606413776752e-1,1.3733939984241059e-5,,,
5.302564183891199e-1,1.4151959445308335e-5,,,
5.458521954005646e-1,1.4570087818546044e-5,,,
5.614479724120093e-1,1.4988325148822949e-5,,,
5.77043749423454e-1,1.540667147895735e-5,,,
5.926395264348987e-1,1.5825126850110906e-5,,,
6.082353034463434e-1,1.6243691301898216e-5,,,
6.238310804577881e-1,1.6662364871598827e-5,,,
6.394268574692328e-1,1.708114759527278e-5,,,
6.550226344806775e-1,1.750003950686019e-5,,,
6.706184114921222e-1,1.7919040638798762e-5,,,
6.86214188503567e-1,1.8338151021314455e-5,,,
7.018099655150116e-1,1.8757370683374807e-5,,,
7.174057425264563e-1,1.9176699651810338e-5,,,
7.33001519537901e-1,1.959613795185979e-5,,,
7.485972965493457e-1,2.0015685606880456e-5,,,
7.641930735607905e-1,2.043534263846797e-5,,,
7.797888505722351e-1,2.085510906647416e-5,,,
7.953846275836799e-1,2.12749849090098e-5,,,
8.109804045951245e-1,2.1694970182318414e-5,,,
8.265761816065692e-1,2.2115064900996467e-5,,,
8.42171958618014e-1,2.2535269077794402e-5,,,
8.577677356294586e-1,2.295558272356744e-5,,,
8.733635126409034e-1,2.337600584770101e-5,,,
8.88959289652348e-1,2.3796538457512485e-5,,,
9.045550666637927e-1,2.4217180558756052e-5,,,
9.201508436752375e-1,2.4637932155217098e-5,,,
9.357466206866821e-1,2.505879324914103e-5,,,
9.513423976981269e-1,2.5479763840752193e-5,,,
9.669381747095716e-1,2.590084392875712e-5,,,
9.825339517210163e-1,2.6322033509942735e-5,,,
9.98129728732461e-1,2.6743332579366693e-5,,,
1.0137255057439056e0,2.716474113038719e-5,,,
1.0293212827553504e0,2.7586259154420627e-5,,,
1.0449170597667952e0,2.800788664132571e-5,,,
1.0605128367782397e0,2.842962357904311e-5,,,
1.0761086137896845e0,2.8851469953861344e-5,,,
1.0917043908011292e0,2.9273425750253878e-5,,,
1.1073001678125738e0,2.9695490950987512e-5,,,
1.1228959448240186e0,3.0117665536880343e-5,,,
1.1384917218354633e0,3.053994948730314e-5,,,
1.154087498846908e0,3.096234277958308e-5,,,
1.1696832758583526e0,3.138484538939101e-5,,,
1.1852790528697974e0,3.1807457290849e-5,,,
1.2008748298812422e0,3.2230178455894384e-5,,,
1.2164706068926867e0,3.265300885521682e-5,,,
1.2320663839041315e0,3.3075948457189195e-5,,,
1.2476621609155762e0,3.3498997228958776e-5,,,
1.263257937927021e0,3.392215513553782e-5,,,
1.2788537149384656e0,3.434542214054283e-5,,,
1.2944494919499103e0,3.476879820555523e-5,,,
1.310045268961355e0,3.519228329051469e-5,,,
1.3256410459727996e0,3.56158773536203e-5,,,
1.3412368229842444e0,3.603958035125534e-5,,,
1.3568325999956892e0,3.6463392238175655e-5,,,
1.372428377007134e0,3.6887312967299884e-5,,,
1.3880241540185785e0,3.7311342489861106e-5,,,
1.4036199310300232e0,3.773548075532375e-5,,,
1.419215708041468e0,3.815972771141434e-5,,,
1.4348114850529126e0,3.8584083304233454e-5,,,
1.4504072620643573e0,3.90085474779284e-5,,,
1.466003039075802e0,3.9433120175128536e-5,,,
1.4815988160872469e0,3.985780133653288e-5,,,
1.4971945930986914e0,4.028259090134589e-5,,,
1.5127903701101362e0,4.070748880674825e-5,,,
1.528386147121581e0,4.1132494988490224e-5,,,
1.5439819241330255e0,4.155760938044807e-5,,,
1.5595777011444703e0,4.1982831914650034e-5,,,
1.575173478155915e0,4.240816252167299e-5,,,
1.5907692551673598e0,4.283360113015707e-5,,,
1.6063650321788043e0,4.325914766715773e-5,,,
1.621960809190249e0,4.368480205792744e-5,,,
1.6375565862016939e0,4.411056422593496e-5,,,
1.6531523632131384e0,4.4536434093172664e-5,,,
1.6687481402245832e0,4.496241157969298e-5,,,
1.684343917236028e0,4.538849660393738e-5,,,
1.6999396942474725e0,4.5814689082578486e-5,,,
1.7155354712589173e0,4.624098893063575e-5,,,
1.731131248270362e0,4.666739606137306e-5,,,
1.7467270252818068e0,4.709391038644386e-5,,,
1.7623228022932513e0,4.752053181568583e-5,,,
1.777918579304696e0,4.794726025718667e-5,,,
1.7935143563161409e0,4.837409561755928e-5,,,
1.8091101333275854e0,4.88010378014348e-5,,,
1.8247059103390302e0,4.922808671205347e-5,,,
1.840301687350475e0,4.965524225065996e-5,,,
1.8558974643619197e0,5.008250431708167e-5,,,
1.8714932413733643e0,5.0509872809263795e-5,,,
1.887089018384809e0,5.093734762349805e-5,,,
1.9026847953962538e0,5.13649286543787e-5,,,
1.9182805724076983e0,5.1792615794898974e-5,,,
1.933876349419143e0,5.222040893623262e-5,,,
1.9494721264305879e0,5.264830796805994e-5,,,
1.9650679034420326e0,5.3076312778157044e-5,,,
1.9806636804534772e0,5.350442325289382e-5,,,
1.996259457464922e0,5.3932639276651145e-5,,,
2.0118552344763665e0,5.43609607323828e-5,,,
2.0274510114878113e0,5.478938750121112e-5,,,
2.043046788499256e0,5.5217919462782655e-5,,,
2.058642565510701e0,5.5646556494807134e-5,,,
2.0742383425221456e0,5.6075298473567416e-5,,,
2.0898341195335903e0,5.650414527351261e-5,,,
2.1054298965450347e0,5.693309676765198e-5,,,
2.1210256735564794e0,5.736215282701584e-5,,,
2.136621450567924e0,5.7791313321227595e-5,,,
2.152217227579369e0,5.822057811824779e-5,,,
2.1678130045908137e0,5.864994708419505e-5,,,
2.1834087816022585e0,5.907942008369444e-5,,,
2.1990045586137033e0,5.9508996979696655e-5,,,
2.2146003356251476e0,5.993867763353312e-5,,,
2.2301961126365923e0,6.036846190484007e-5,,,
2.245791889648037e0,6.07983496515e-5,,,
2.261387666659482e0,6.122834073012985e-5,,,
2.2769834436709266e0,6.165843499521553e-5,,,
2.2925792206823714e0,6.208863230012067e-5,,,
2.308174997693816e0,6.251893249608316e-5,,,
2.3237707747052605e0,6.29493354330567e-5,,,
2.3393665517167053e0,6.337984095916201e-5,,,
2.35496232872815e0,6.381044892106714e-5,,,
2.370558105739595e0,6.424115916369795e-5,,,
2.3861538827510396e0,6.467197153041686e-5,,,
2.4017496597624843e0,6.510288586291479e-5,,,
2.417345436773929e0,6.553390200136445e-5,,,
2.4329412137853734e0,6.596501978423548e-5,,,
2.448536990796818e0,6.639623904839441e-5,,,
2.464132767808263e0,6.682755962914183e-5,,,
2.4797285448197077e0,6.72589813600924e-5,,,
2.4953243218311525e0,6.769050407342993e-5,,,
2.5109200988425973e0,6.812212759953918e-5,,,
2.526515875854042e0,6.855385176722649e-5,,,
2.5421116528654863e0,6.89856764039885e-5,,,
2.557707429876931e0,6.941760133533088e-5,,,
2.573303206888376e0,6.984962638543235e-5,,,
2.5888989838998206e0,7.028175137676753e-5,,,
2.6044947609112654e0,7.071397613027784e-5,,,
2.62009053792271e0,7.114630046530528e-5,,,
2.635686314934155e0,7.157872419959126e-5,,,
2.6512820919455993e0,7.201124714938731e-5,,,
2.666877868957044e0,7.244386912917619e-5,,,
2.682473645968489e0,7.287658995212933e-5,,,
2.6980694229799336e0,7.330940942965851e-5,,,
2.7136651999913783e0,7.374232737177525e-5,,,
2.729260977002823e0,7.417534358673529e-5,,,
2.744856754014268e0,7.460845788135408e-5,,,
2.760452531025712e0,7.504167006080955e-5,,,
2.776048308037157e0,7.547497992883963e-5,,,
2.7916440850486017e0,7.5908387287615e-5,,,
2.8072398620600465e0,7.634189193769978e-5,,,
2.8228356390714913e0,7.677549367799644e-5,,,
2.838431416082936e0,7.720919230612061e-5,,,
2.854027193094381e0,7.764298761800162e-5,,,
2.869622970105825e0,7.807687940809967e-5,,,
2.88521874711727e0,7.851086746920878e-5,,,
2.9008145241287147e0,7.89449515926878e-5,,,
2.9164103011401594e0,7.937913156843113e-5,,,
2.932006078151604e0,7.981340718464629e-5,,,
2.947601855163049e0,8.0247778228212e-5,,,
2.9631976321744937e0,8.068224448426543e-5,,,
2.978793409185938e0,8.111680573668306e-5,,,
2.994389186197383e0,8.155146176755222e-5,,,
3.0099849632088276e0,8.198621235766049e-5,,,
3.0255807402202723e0,8.242105728625785e-5,,,
3.041176517231717e0,8.285599633098552e-5,,,
3.056772294243162e0,8.329102926810896e-5,,,
3.0723680712546066e0,8.372615587230523e-5,,,
3.087963848266051e0,8.416137591676868e-5,,,
3.1035596252774957e0,8.459668917326716e-5,,,
3.1191554022889405e0,8.503209541213312e-5,,,
3.1347511793003853e0,8.546759440184608e-5,,,
3.141592653589793e0,8.555394967559469e-5,,,
0e0,,0e0,,
7.286779099782525e-2,,2.0550537997195422e-8,,
1.457355819956505e-1,,4.107761343595421e-8,,
2.1860337299347576e-1,,6.158108463552703e-8,,
2.91471163991301e-1,,8.206081776337984e-8,,
3.643389549891263e-1,,1.0251668724248922e-7,,
4.3720674598695153e-1,,1.2294857568926993e-7,,
5.100745369847768e-1,,1.4335637357379137e-7,,
5.82942327982602e-1,,1.6373997993455672e-7,,
6.558101189804273e-1,,1.8409930183841089e-7,,
7.286779099782525e-1,,2.0443425500830115e-7,,
8.015457009760778e-1,,2.2474476313840567e-7,,
8.744134919739031e-1,,2.4503075862381193e-7,,
9.472812829717283e-1,,2.6529218222096034e-7,,
1.0201490739695536e0,,2.8552898306920477e-7,,
1.0930168649673788e0,,3.057411191231901e-7,,
1.165884655965204e0,,3.259285566315798e-7,,
1.2387524469630293e0,,3.460912705243393e-7,,
1.3116202379608546e0,,3.662292444094727e-7,,
1.3844880289586798e0,,3.8634247050402967e-7,,
1.457355819956505e0,,4.064309497076702e-7,,
1.5302236109543303e0,,4.264946916530466e-7,,
1.6030914019521556e0,,4.465337147249878e-7,,
1.6759591929499809e0,,4.665480458880446e-7,,
1.7488269839478061e0,,4.865377212484264e-7,,
1.8216947749456314e0,,5.065027853461649e-7,,
1.8945625659434566e0,,5.264432915166553e-7,,
1.9674303569412819e0,,5.463593021020111e-7,,
2.040298147939107e0,,5.662508881798952e-7,,
2.113165938936932e0,,5.861181296073885e-7,,
2.1860337299347576e0,,6.059611150648104e-7,,
2.258901520932583e0,,6.257799420914829e-7,,
2.331769311930408e0,,6.455747170899892e-7,,
2.404637102928233e0,,6.653455552736021e-7,,
2.4775048939260587e0,,6.850925804736642e-7,,
2.550372684923884e0,,7.048159254749796e-7,,
2.623240475921709e0,,7.245157320513365e-7,,
2.696108266919534e0,,7.441921503564824e-7,,
2.7689760579173597e0,,7.63845339686114e-7,,
2.841843848915185e0,,7.834754677738997e-7,,
2.91471163991301e0,,8.030827111691987e-7,,
2.987579430910835e0,,8.226672553733002e-7,,
3.0604472219086607e0,,8.422292942183627e-7,,
3.133315012906486e0,,8.617690302667478e-7,,
3.141592653589793e0,,8.617401893280357e-7,,
0e0,,,0e0,
1.5707144714555682e-1,,,7.204261701843709e-10,
3.1414289429111364e-1,,,1.4427152107646819e-9,
4.7121434143667046e-1,,,2.1668825735038328e-9,
6.282857885822273e-1,,,2.8929408053539038e-9,
7.85357235727784e-1,,,3.6208994810036314e-9,
9.424286828733409e-1,,,4.3507646505746835e-9,
1.0995001300188978e0,,,5.082539377105369e-9,
1.2565715771644546e0,,,5.816223481634572e-9,
1.4136430243100113e0,,,6.551813951996117e-9,
1.570714471455568e0,,,7.2893041775252035e-9,
1.727785918601125e0,,,8.028684950483694e-9,
1.8848573657466818e0,,,8.76994360025724e-9,
2.041928812892239e0,,,9.513064740394566e-9,
2.1990002600377956e0,,,1.0258029608856338e-8,
2.3560717071833523e0,,,1.100481679209326e-8,
2.513143154328909e0,,,1.1753401673185372e-8,
2.670214601474466e0,,,1.2503757087285922e-8,
2.8272860486200226e0,,,1.3255852544332969e-8,
2.9843574957655794e0,,,1.4009655129147461e-8,
3.141428942911136e0,,,1.4765128955750522e-8,
3.141592653589793e0,,,1.4765147857878297e-8,
0e0,,,,0e0
2.4895319327390258e-1,,,,2.1159850392510395e-11
4.9790638654780517e-1,,,,4.223665601313546e-11
7.468595798217077e-1,,,,6.322889933533279e-11
9.958127730956103e-1,,,,8.413546770389391e-11
1.244765966369513e0,,,,1.0495542843458993e-10
1.4937191596434154e0,,,,1.2568839324848235e-10
1.742672352917318e0,,,,1.4633421821055603e-10
1.9916255461912207e0,,,,1.668931913896864e-10
2.240578739465123e0,,,,1.8736570829856394e-10
2.489531932739026e0,,,,2.0775288515571356e-10
2.7384851260129284e0,,,,2.2805609463659134e-10
2.987438319286831e0,,,,2.4827697899918915e-10
3.141592653589793e0,,,,2.4984221202961513e-10
