x,OneStep,TwoStep,ThreeStep,FourStep
0e0,9.86363544725183e-3,,,
9.86363544725183e-3,1.9727270894503664e-2,,,
2.9590906341755492e-2,3.945454178900732e-2,,,
6.904544813076281e-2,7.890908357801464e-2,,,
1.4795453170877745e-1,3.9454541789007314e-2,,,
1.8740907349778477e-1,7.890908357801465e-2,,,
2.663181570757994e-1,3.9454541789007314e-2,,,
3.0577269886480674e-1,7.890908357801463e-2,,,
3.8468178244282136e-1,3.9454541789007314e-2,,,
4.241363242318287e-1,7.890908357801463e-2,,,
5.030454078098433e-1,3.9454541789007314e-2,,,
5.424999495988506e-1,7.890908357801463e-2,,,
6.214090331768652e-1,3.9454541789007314e-2,,,
6.608635749658726e-1,7.890908357801463e-2,,,
7.397726585438872e-1,3.9454541789007314e-2,,,
7.792272003328945e-1,7.890908357801463e-2,,,
8.581362839109091e-1,3.9454541789007314e-2,,,
8.975908256999164e-1,7.890908357801463e-2,,,
9.764999092779311e-1,3.9454541789007425e-2,,,
1.0159544510669385e0,7.890908357801463e-2,,,
1.0948635346449531e0,3.9454541789007314e-2,,,
1.1343180764339604e0,7.890908357801463e-2,,,
1.213227160011975e0,3.9454541789007314e-2,,,
1.2526817018009824e0,7.890908357801463e-2,,,
1.331590785378997e0,3.9454541789007314e-2,,,
1.3710453271680043e0,7.890908357801463e-2,,,
1.449954410746019e0,3.9454541789007314e-2,,,
1.4894089525350263e0,7.890908357801463e-2,,,
1.5683180361130409e0,3.9454541789007314e-2,,,
1.6077725779020482e0,7.890908357801463e-2,,,
1.6866816614800628e0,3.9454541789007314e-2,,,
1.7261362032690701e0,7.890908357801463e-2,,,
1.8050452868470848e0,3.9454541789007314e-2,,,
1.844499828636092e0,7.890908357801463e-2,,,
1.9234089122141067e0,3.9454541789007314e-2,,,
1.962863454003114e0,7.890908357801485e-2,,,
2.041772537581129e0,3.9454541789007536e-2,,,
2.0812270793701364e0,7.890908357801463e-2,,,
2.160136162948151e0,3.9454541789007536e-2,,,
2.1995907047371586e0,7.890908357801463e-2,,,
2.278499788315173e0,3.9454541789007536e-2,,,
2.3179543301041807e0,7.890908357801463e-2,,,
2.3968634136821954e0,3.9454541789007536e-2,,,
2.436317955471203e0,7.890908357801463e-2,,,
2.5152270390492175e0,3.9454541789007536e-2,,,
2.554681580838225e0,7.890908357801463e-2,,,
2.6335906644162397e0,3.9454541789007536e-2,,,
2.673045206205247e0,7.890908357801463e-2,,,
2.751954289783262e0,3.9454541789007536e-2,,,
2.7914088315722694e0,7.890908357801463e-2,,,
2.870317915150284e0,3.9454541789007536e-2,,,
2.9097724569392915e0,7.890908357801463e-2,,,
2.988681540517306e0,3.9454541789007536e-2,,,
3.0281360823063137e0,7.890908357801463e-2,,,
3.1070451658843283e0,3.4547487705464786e-2,,,
0e0,,6.764446500510708e-2,,
6.764446500510708e-2,,1.352889300102142e-1,,
2.0293339501532126e-1,,2.7057786002042833e-1,,
4.735112550357496e-1,,5.411557200408565e-1,,
1.0146669750766062e0,,5.411557200408565e-1,,
1.5558226951174627e0,,5.411557200408565e-1,,
2.0969784151583193e0,,5.411557200408565e-1,,
2.638134135199176e0,,5.034585183906173e-1,,
0e0,,,1.7665553147479657e-1,
1.7665553147479657e-1,,,3.533110629495931e-1,
5.299665944243896e-1,,,7.066221258991863e-1,
1.236588720323576e0,,,1.4132442517983723e0,
2.6498329721219482e0,,,4.917596814678449e-1,
0e0,,,,3.1415769145593175e-1
3.1415769145593175e-1,,,,6.283153829118635e-1
9.424730743677953e-1,,,,1.256630765823727e0
2.199103840191522e0,,,,9.42488813398271e-1
