x,OneRatio,TwoRatio,ThreeRatio,FourRatio
9.86363544725183e-3,3.3156449153129174e-2,,,
2.9590906341755492e-2,1.3264014394504411e-1,,,
6.904544813076281e-2,5.306758069889039e-1,,,
1.4795453170877745e-1,1.0004355076557665e0,,,
1.8740907349778477e-1,5.312029384473483e-1,,,
2.663181570757994e-1,1.000436973947789e0,,,
3.0577269886480674e-1,5.31732332951737e-1,,,
3.8468178244282136e-1,1.0004382278860264e0,,,
4.241363242318287e-1,5.322637420005005e-1,,,
5.030454078098433e-1,1.0004392700628835e0,,,
5.424999495988506e-1,5.327969168990605e-1,,,
6.214090331768652e-1,1.0004401012159423e0,,,
6.608635749658726e-1,5.333316088393831e-1,,,
7.397726585438872e-1,1.0004407221913654e0,,,
7.792272003328945e-1,5.338675689938601e-1,,,
8.581362839109091e-1,1.0004411339013024e0,,,
8.975908256999164e-1,5.344045486902075e-1,,,
9.764999092779311e-1,1.0004413373936465e0,,,
1.0159544510669385e0,5.349422994865598e-1,,,
1.0948635346449531e0,1.0004413337835831e0,,,
1.1343180764339604e0,5.354805733041637e-1,,,
1.213227160011975e0,1.0004411243455071e0,,,
1.2526817018009824e0,5.360191225425646e-1,,,
1.331590785378997e0,1.0004407103198485e0,,,
1.3710453271680043e0,5.365577002344074e-1,,,
1.449954410746019e0,1.0004400931559512e0,,,
1.4894089525350263e0,5.370960600305225e-1,,,
1.5683180361130409e0,1.0004392743352075e0,,,
1.6077725779020482e0,5.376339564915558e-1,,,
1.6866816614800628e0,1.000438255414698e0,,,
1.7261362032690701e0,5.381711450591325e-1,,,
1.8050452868470848e0,1.000437037999973e0,,,
1.844499828636092e0,5.387073822203621e-1,,,
1.9234089122141067e0,1.000435623911055e0,,,
1.962863454003114e0,5.39242425569231e-1,,,
2.041772537581129e0,1.000434014843364e0,,,
2.0812270793701364e0,5.39776034007456e-1,,,
2.160136162948151e0,1.0004322127583756e0,,,
2.1995907047371586e0,5.403079677252791e-1,,,
2.278499788315173e0,1.0004302194961439e0,,,
2.3179543301041807e0,5.4083798838446e-1,,,
2.3968634136821954e0,1.000428037131606e0,,,
2.436317955471203e0,5.413658591814596e-1,,,
2.5152270390492175e0,1.000425667693041e0,,,
2.554681580838225e0,5.418913449543271e-1,,,
2.6335906644162397e0,1.000423113282912e0,,,
2.673045206205247e0,5.424142122869301e-1,,,
2.751954289783262e0,1.0004203761159913e0,,,
2.7914088315722694e0,5.429342295906087e-1,,,
2.870317915150284e0,1.0004174584202523e0,,,
2.9097724569392915e0,5.434511671825524e-1,,,
2.988681540517306e0,1.0004143624897157e0,,,
3.0281360823063137e0,5.439647974131087e-1,,,
3.1070451658843283e0,1.0004110906331898e0,,,
3.141592653589793e0,4.174566119156407e-1,,,
6.764446500510708e-2,,6.576240055544967e-3,,
2.0293339501532126e-1,,5.257494958335211e-2,,
4.735112550357496e-1,,4.2003443840597404e-1,,
1.0146669750766062e0,,3.3510675459476533e0,,
1.5558226951174627e0,,3.3362904129231445e0,,
2.0969784151583193e0,,3.321358608297497e0,,
2.638134135199176e0,,3.306416810699109e0,,
3.141592653589793e0,,2.6507534830368944e0,,
1.7665553147479657e-1,,,9.221744524356618e-4,
5.299665944243896e-1,,,1.4780411154693512e-2,
1.236588720323576e0,,,2.373096193460476e-1,
2.6498329721219482e0,,,3.8232064854865015e0,
3.141592653589793e0,,,5.66229229468598e-2,
3.1415769145593175e-1,,,,1.0832886103522233e-4
9.424730743677953e-1,,,,3.456389668401445e-3
2.199103840191522e0,,,,1.0993628064562926e-1
3.141592653589793e0,,,,2.5832259792927213e-2
